STUDENT_ID,GET_SUBJECT
2019381529,GEE1127-G02
2019381529,GED1508-G00
2019381529,GED1329-G00
2019381529,GEC1403-G18
2019381529,GED1959-G02
2011296452,GEC1403-G25
2011296452,GEC1102-G33
2011296452,GEB1101-G02
2011296452,GED1940-G00
2011296452,GED1432-G00
2011296452,GEC1102-G23
2015945379,GEC2001-G37
2015945379,GEC1105-G42
2015945379,GEC1403-G03
2015945379,GEC1102-G40
2017409116,GEC1403-G00
2017409116,EDU2103-G04
2017409116,GEC1403-G24
2017409116,GEC1102-G20
2012300078,GED1540-G00
2012300078,GEC1104-G32
2012300078,GEE1345-G00
2012300078,GEB1102-G01
2012300078,GED1959-G02
2012300078,GEC1403-G24
2012086195,GED1961-G00
2012086195,GEE1958-G01
2012086195,GEC1104-G42
2012086195,GEC1102-G51
2012086195,GEC1102-G40
2021558670,GEC1105-G29
2021558670,GEC2001-G17
2021558670,GEC2001-G21
2021558670,GEC0103-G00
2021558670,GED1959-G01
2021558670,GEC2001-G10
2017093566,GED1349-G00
2017093566,GEC1102-G41
2017093566,GEE1960-G00
2017093566,GEC1104-G27
2013672939,GED1349-G00
2013672939,GEB1202-G00
2013672939,GEC2001-G32
2013672939,GEC1102-G28
2021005448,GED1223-G01
2021005448,GED1735-G00
2021005448,GEC1105-G17
2021005448,GEC2001-G27
2021005448,GEC1104-G30
2015027208,GEE1344-G02
2015027208,GED1539-G00
2015027208,GEC1102-G18
2015027208,GEC1104-G26
2016493167,GED1306-G00
2016493167,GEC1102-G48
2016493167,GEC1102-G20
2016493167,GEC1104-G26
2015078327,GEC1104-G35
2015078327,GEC1102-G26
2015078327,GEC1105-G27
2015078327,GED1306-G00
2015078327,GED1947-G01
2017518650,GEC1104-G18
2017518650,GEE1330-G03
2017518650,GED1962-G00
2017518650,GEE1605-G00
2017518650,GEC2001-G17
2017518650,GED1650-G00
2014817358,GEC1102-G33
2014817358,GEC1102-G51
2014817358,GED1235-G00
2014817358,GEC2001-G27
2014817358,GEC1102-G27
2014817358,GEC1102-G42
2021791350,GEC1403-G39
2021791350,GED1958-G00
2021791350,GED1609-G01
2021791350,GED1123-G00
2021791350,GEC0103-G08
2021791350,GED1467-G00
2012411415,GED1989-G00
2012411415,GEC0103-G05
2012411415,GED1202-G01
2012411415,GED1929-G00
2012411415,GEC1102-G37
2012411415,GEC1105-G40
2021631828,GEC1104-G35
2021631828,GEC1102-G31
2021631828,GEC2001-G26
2021631828,GED1739-G00
2021631828,GED1502-G01
2021631828,EDU4103-G00
2015589575,GEC1403-G36
2015589575,GED1202-G01
2015589575,GED1717-G01
2015589575,GEB1102-G04
2018492079,EDU4104-G01
2018492079,GED1961-G01
2018492079,GED1235-G00
2018492079,GED1202-G00
2018492079,GED1440-G01
2018492079,GED1358-G00
2015462427,GEE1127-G01
2015462427,GEC1105-G22
2015462427,GEC1104-G16
2015462427,GEC1105-G02
2015462427,GEC1403-G05
2015462427,GED1733-G00
2021735707,GEC1105-G21
2021735707,GED1306-G00
2021735707,GEC1102-G50
2021735707,GED1736-G00
2021735707,GED1202-G00
2017493378,GED1539-G00
2017493378,GEB1202-G06
2017493378,GEC1403-G34
2017493378,GEE1267-G00
2017493378,GEC1104-G04
2017493378,GEC1105-G24
2019179016,GEC1102-G23
2019179016,GEE1956-G06
2019179016,GEB1101-G02
2019179016,GEE1956-G03
2019179016,GEC1105-G44
2013428830,GED1984-G00
2013428830,GEC1105-G46
2013428830,GEC1102-G54
2013428830,GEC1403-G00
2013428830,GEC1105-G36
2013428830,GEC0103-G05
2021697157,GEC1403-G00
2021697157,GEC1102-G17
2021697157,GEC1105-G31
2021697157,GEC1403-G17
2021697157,GEC1403-G31
2014812636,EDU3345-G00
2014812636,GED1502-G01
2014812636,GED1325-G00
2014812636,GEC1403-G04
2014812636,GEC2001-G11
2014812636,GEC1104-G22
2019349984,GEC1105-G47
2019349984,GEC1102-G05
2019349984,GEB1102-G06
2019349984,GEC1104-G34
2019349984,GEC1102-G24
2018174211,GED1459-G00
2018174211,GEC2001-G34
2018174211,GEC1403-G04
2018174211,GEB1102-G05
2018174211,GEE1332-G06
2018174211,GEC1403-G16
2011003578,GEC1105-G34
2011003578,GEC2001-G01
2011003578,GEC1403-G08
2011003578,GEC0103-G06
2011003578,GEC1105-G00
2011003578,GED1537-G00
2021083760,GEC1102-G08
2021083760,GEC1102-G42
2021083760,GED1329-G00
2021083760,GED1432-G01
2013692324,GED1873-G00
2013692324,GED1987-G00
2013692324,GED1717-G01
2013692324,GEE1127-G00
2013692324,GED1663-G00
2018657797,GEC1102-G53
2018657797,GEC1105-G49
2018657797,GEC2001-G07
2018657797,GEE1330-G02
2011786560,GEE1959-G01
2011786560,GED1738-G00
